ExperimentID,SampleID,AndroidVersion,Brand,Model,Avg_Lux,User_ID,Protocol_ID,Latitude,Longitude,Luminosity,Timestamp
41,659,8.0.0,HUAWEI,PRA-LX1,73.66666666666667,1,2,41.441507,-8.3019531,45,04/05/2019 22:54
41,660,8.0.0,HUAWEI,PRA-LX1,73.66666666666667,1,2,41.4415018,-8.3019481,32,04/05/2019 22:54
41,661,8.0.0,HUAWEI,PRA-LX1,73.66666666666667,1,2,41.4414954,-8.301942,24,04/05/2019 22:54
42,662,7.0,HUAWEI,HUAWEI VNS-L31,54,1,2,41.4414859,-8.3021719,12,04/05/2019 22:55
42,663,7.0,HUAWEI,HUAWEI VNS-L31,54,1,2,41.4412653,-8.3020389,21,04/05/2019 22:55
42,664,7.0,HUAWEI,HUAWEI VNS-L31,54,1,2,41.4412227,-8.3020285,50,04/05/2019 22:55
42,665,7.0,HUAWEI,HUAWEI VNS-L31,54,1,2,41.4413168,-8.3022805,100,04/05/2019 22:55
42,666,7.0,HUAWEI,HUAWEI VNS-L31,54,1,2,41.4413766,-8.3022158,87,04/05/2019 22:55
43,667,5.1.1,Xiaomi,Redmi 3,0,1,2,41.441338,-8.3049091,0,04/05/2019 22:55
43,668,5.1.1,Xiaomi,Redmi 3,0,1,2,41.441338,-8.3049091,0,04/05/2019 22:55
44,669,8.0.0,HUAWEI,PRA-LX1,10.666666666666666,1,2,41.4415121,-8.3022042,10,04/05/2019 22:55
44,670,8.0.0,HUAWEI,PRA-LX1,10.666666666666666,1,2,41.4415141,-8.3021818,10,04/05/2019 22:55
44,671,8.0.0,HUAWEI,PRA-LX1,10.666666666666666,1,2,41.4415229,-8.3021523,13,04/05/2019 22:55
44,672,8.0.0,HUAWEI,PRA-LX1,10.666666666666666,1,2,41.4415424,-8.3022706,13,04/05/2019 22:55
44,673,8.0.0,HUAWEI,PRA-LX1,10.666666666666666,1,2,41.4415624,-8.3023251,10,04/05/2019 22:55
44,674,8.0.0,HUAWEI,PRA-LX1,10.666666666666666,1,2,41.4415531,-8.3023277,8,04/05/2019 22:55
51,779,9,OnePlus,ONEPLUS A6003,54.4,2,1,41.5517556,-8.3997484,138,05/05/2019 21:59
51,780,9,OnePlus,ONEPLUS A6003,54.4,2,1,41.5533949,-8.4022266,15,05/05/2019 21:59
51,781,9,OnePlus,ONEPLUS A6003,54.4,2,1,41.5534619,-8.4023428,1,05/05/2019 21:59
51,782,9,OnePlus,ONEPLUS A6003,54.4,2,1,41.5534563,-8.4023673,3,05/05/2019 21:59
51,783,9,OnePlus,ONEPLUS A6003,54.4,2,1,41.5534413,-8.4023978,0,05/05/2019 21:59
51,784,9,OnePlus,ONEPLUS A6003,54.4,2,1,41.5534337,-8.4024207,0,05/05/2019 21:59
